Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
1937,UK,Annual Mean Temperature,8.334515616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,UK,Annual Mean Temperature,8.805530601,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,UK,Annual Mean Temperature,9.242711589,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,UK,Annual Mean Temperature,8.188413342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,UK,Annual Mean Temperature,8.105514262,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,UK,Annual Mean Temperature,8.065698192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,UK,Annual Mean Temperature,8.924313616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,UK,Annual Mean Temperature,9.340455644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,UK,Annual Mean Temperature,8.292621863,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,UK,Annual Mean Temperature,7.521023315,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,UK,Annual Mean Temperature,8.351416803,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,UK,Annual Mean Temperature,8.566243836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1907,UK,Annual Mean Temperature,7.833456712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1918,UK,Annual Mean Temperature,8.327633726,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1929,UK,Annual Mean Temperature,7.978344548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1908,UK,Annual Mean Temperature,8.306992268,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1919,UK,Annual Mean Temperature,7.424323534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1909,UK,Annual Mean Temperature,7.520684247,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,UK,Annual Mean Temperature,9.61783735,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,UK,Annual Mean Temperature,7.938487781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,UK,Annual Mean Temperature,7.957247288,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,UK,Annual Mean Temperature,9.098586858,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,UK,Annual Mean Temperature,9.607467562,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2001,UK,Annual Mean Temperature,8.800645945,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2012,UK,Annual Mean Temperature,8.737810738,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1990,UK,Annual Mean Temperature,9.379555041,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1891,UK,Annual Mean Temperature,7.601503836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1980,UK,Annual Mean Temperature,8.255493087,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1991,UK,Annual Mean Temperature,8.541466301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1892,UK,Annual Mean Temperature,7.01653041,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2002,UK,Annual Mean Temperature,9.436561973,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2013,UK,Annual Mean Temperature,8.741614548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2003,UK,Annual Mean Temperature,9.472070932,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2014,UK,Annual Mean Temperature,9.87960063,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1970,UK,Annual Mean Temperature,8.313165589,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1981,UK,Annual Mean Temperature,8.102850164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1992,UK,Annual Mean Temperature,8.693109098,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1893,UK,Annual Mean Temperature,8.782930055,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,UK,Annual Mean Temperature,8.538865765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,UK,Annual Mean Temperature,8.728489342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,UK,Annual Mean Temperature,8.656485973,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,UK,Annual Mean Temperature,8.325390795,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1894,UK,Annual Mean Temperature,8.185849507,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,UK,Annual Mean Temperature,9.441717596,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,UK,Annual Mean Temperature,9.184396795,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,UK,Annual Mean Temperature,9.415262356,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,UK,Annual Mean Temperature,9.286370847,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,UK,Annual Mean Temperature,8.29967211,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,UK,Annual Mean Temperature,8.669570438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,UK,Annual Mean Temperature,8.100739372,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,UK,Annual Mean Temperature,8.826009671,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,UK,Annual Mean Temperature,8.885166384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,UK,Annual Mean Temperature,8.475600874,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,UK,Annual Mean Temperature,7.546528384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,UK,Annual Mean Temperature,8.431589808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,UK,Annual Mean Temperature,8.573475027,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,UK,Annual Mean Temperature,9.173812192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,UK,Annual Mean Temperature,7.361354658,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,UK,Annual Mean Temperature,8.259370683,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,UK,Annual Mean Temperature,9.702520356,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,UK,Annual Mean Temperature,9.530665863,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,UK,Annual Mean Temperature,8.007832814,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,UK,Annual Mean Temperature,8.113060438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,UK,Annual Mean Temperature,7.561311699,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,UK,Annual Mean Temperature,8.291005205,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,UK,Annual Mean Temperature,7.956245479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,UK,Annual Mean Temperature,7.99254276,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,UK,Annual Mean Temperature,7.403362301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,UK,Annual Mean Temperature,8.377417562,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,UK,Annual Mean Temperature,7.784863808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,UK,Annual Mean Temperature,8.178423169,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,UK,Annual Mean Temperature,7.451675096,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,UK,Annual Mean Temperature,8.229974575,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,UK,Annual Mean Temperature,9.564108411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,UK,Annual Mean Temperature,9.445941863,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,UK,Annual Mean Temperature,8.875231479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,UK,Annual Mean Temperature,9.021623552,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,UK,Annual Mean Temperature,9.388839151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,UK,Annual Mean Temperature,8.450561557,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,UK,Annual Mean Temperature,7.978350712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,UK,Annual Mean Temperature,8.032649945,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,UK,Annual Mean Temperature,8.909713123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,UK,Annual Mean Temperature,8.309637978,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,UK,Annual Mean Temperature,8.76912074,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,UK,Annual Mean Temperature,7.674404411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,UK,Annual Mean Temperature,9.408207479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,UK,Annual Mean Temperature,7.508783945,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1910,UK,Annual Mean Temperature,8.090229644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1921,UK,Annual Mean Temperature,9.240960192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1932,UK,Annual Mean Temperature,8.350144754,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1943,UK,Annual Mean Temperature,8.881350685,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1954,UK,Annual Mean Temperature,8.127874055,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1965,UK,Annual Mean Temperature,7.755031096,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1976,UK,Annual Mean Temperature,8.735416913,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1987,UK,Annual Mean Temperature,7.993920438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1998,UK,Annual Mean Temperature,9.157646438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1888,UK,Annual Mean Temperature,7.280336175,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1899,UK,Annual Mean Temperature,8.57228937,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2009,UK,Annual Mean Temperature,9.136951151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1900,UK,Annual Mean Temperature,8.283999671,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1911,UK,Annual Mean Temperature,8.810151041,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1922,UK,Annual Mean Temperature,7.632063534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1933,UK,Annual Mean Temperature,8.824196712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1944,UK,Annual Mean Temperature,8.441960628,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1955,UK,Annual Mean Temperature,8.229910164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1966,UK,Annual Mean Temperature,8.188235644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1977,UK,Annual Mean Temperature,8.266387945,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1988,UK,Annual Mean Temperature,8.728827322,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1999,UK,Annual Mean Temperature,9.37297137,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1889,UK,Annual Mean Temperature,8.015178822,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1912,UK,Annual Mean Temperature,8.173879536,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1923,UK,Annual Mean Temperature,7.967663342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1934,UK,Annual Mean Temperature,8.867847534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1945,UK,Annual Mean Temperature,9.133828411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1956,UK,Annual Mean Temperature,7.902559672,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1967,UK,Annual Mean Temperature,8.468887534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1978,UK,Annual Mean Temperature,8.226715315,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1989,UK,Annual Mean Temperature,9.227868301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,UK,Annual Mean Temperature,8.082372164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
